class,sms,stemmed_sms,len
ham,Okie... Thanx...,oki thanx,16
ham,"Gosh that , what a pain. Spose I better come then.",gosh pain spose better come,50
ham,"As usual..iam fine, happy &amp; doing well..:)",fine happi amp,46
ham,Okie,oki,4
ham,So when you gonna get rimac access,gon na get rimac access,34
ham,"\Im at arestaurant eating squid! i will be out about 10:30 wanna dosomething or is that to late?\""""",arestaur eat squid wan na dosometh late,99
ham,You call times job today ok umma and ask them to speed up,call time job today ok umma ask speed,57
ham,"\HELLO U.CALL WEN U FINISH WRK.I FANCY MEETIN UP WIV U ALL TONITE AS I NEED A BREAK FROM DABOOKS. DID 4 HRS LAST NITE+2 TODAY OF WRK!\""""",wen finish fanci meetin wiv tonit need break dabook hr last today wrk,136
ham,R U &SAM P IN EACHOTHER. IF WE MEET WE CAN GO 2 MY HOUSE,sam eachoth meet go hous,56
ham,:-) yeah! Lol. Luckily i didn't have a starring role like you!,yeah lol luckili star role like,62
ham,Hello madam how are you ?,hello madam,25
ham,"Awesome, text me when you're restocked",awesom text restock,38
ham,"As usual..iam fine, happy &amp; doing well..:)",fine happi amp,46
spam,Knock Knock Txt whose there to 80082 to enter r weekly draw 4 a å£250 gift voucher 4 a store of yr choice. T&Cs www.tkls.com age16 to stoptxtstopå£1.50/week,knock knock txt whose enter weekli draw gift voucher store yr choic cs,156
ham,Yes. It's all innocent fun. O:-),ye innoc fun,32
ham,Thanks for sending this mental ability question..,thank send mental abil,49
ham,"Sir, hope your day is going smoothly. i really hoped i wont have to bother you about this. I have some bills that i can't settle this month. I am out of all extra cash. I know this is a challenging time for you also but i have to let you know.",sir hope day go smoothli realli hope wont bother bill ca settl month extra cash know challeng time also let know,243
ham,2marrow only. Wed at &lt;#&gt; to 2 aha.,wed lt gt aha,40
ham,I went to ur hon lab but no one is there.,went ur hon lab one,41
ham,I cant pick the phone right now. Pls send a message,cant pick phone right pl send messag,51
ham,Hey pple...$700 or $900 for 5 nights...Excellent location wif breakfast hamper!!!,hey pple night excel locat wif breakfast hamper,81
spam,<Forwarded from 21870000>Hi - this is your Mailbox Messaging SMS alert. You have 40 matches. Please call back on 09056242159 to retrieve your messages and matches cc100p/min,forward hi mailbox messag sm alert match pleas call back retriev messag match,173
ham,How come?,come,9
ham,Lol! Nah wasn't too bad thanks. Its good to b home but its been quite a reality check. Hows ur day been? Did u do anything with website?,lol nah bad thank good home quit realiti check how ur day anyth websit,136
ham,Ok lor...,ok lor,9
ham,I'm coming home 4 dinner.,come home dinner,25
ham,S da..al r above &lt;#&gt;,lt gt,26
spam,"FREE RING TONE just text \POLYS\"" to 87131. Then every week get a new tone. 0870737910216yrs only å£1.50/wk.""",free ring tone text everi week get new tone,109
ham,Unni thank you dear for the recharge..Rakhesh,unni thank dear,45
ham,I know I'm lacking on most of this particular dramastorm's details but for the most part I'm not worried about that,know lack particular dramastorm detail part worri,115
ham,Haha... They cant what... At the most tmr forfeit... haha so how?,haha cant tmr forfeit haha,65
ham,"Hey there! Glad u r better now. I hear u treated urself to a digi cam, is it good? We r off at 9pm. Have a fab new year, c u in coupla wks!",hey glad better hear treat urself digi cam good fab new year coupla wk,139
ham,No way I'm going back there!,way go back,28
spam,"URGENT! Your mobile No 077xxx WON a å£2,000 Bonus Caller Prize on 02/06/03! This is the 2nd attempt to reach YOU! Call 09066362206 ASAP! BOX97N7QP, 150ppm",urgent mobil bonu caller prize attempt reach call asap,154
ham,I WILL CAL YOU SIR. In meeting,cal sir meet,30
ham,"That's what I love to hear :V see you sundayish, then",love hear see sundayish,53
ham,"Sorry da thangam, very very sorry i am held up with prasad.",sorri da thangam sorri held prasad,59
ham,Tiwary to rcb.battle between bang and kochi.,tiwari bang kochi,44
ham,Thank god they are in bed!,thank god bed,26
ham,No I don't have cancer. Moms making a big deal out of a regular checkup aka pap smear,cancer mom make big deal regular checkup aka pap smear,85
ham,Am in gobi arts college,gobi art colleg,23
ham,Why she wants to talk to me,want talk,27
ham,Pandy joined 4w technologies today.he got job..,pandi join technolog got,47
spam,"You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a å£500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18",guarante latest nokia phone ipod player prize txt word collect ibhltd,147
ham,"They can try! They can get lost, in fact. Tee hee",tri get lost fact tee hee,49
ham,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,hi spoke maneesha like know satisfi experi repli toll free ye,126
ham,My friends use to call the same.,friend use call,32
ham,"Sorry, I'll call later",sorri call later,22
ham,"Em, its olowoyey@ usc.edu have a great time in argentina. Not sad about secretary, everything is a blessing",em olowoyey great time argentina sad secretari everyth bless,107
ham,"It,,s a taxt massage....tie-pos argh ok! Lool!",taxt massag argh ok lool,46
ham,"Hi, can i please get a &lt;#&gt; dollar loan from you. I.ll pay you back by mid february. Pls.",hi pleas get lt gt dollar loan pay back mid februari pl,94
ham,"You might want to pull out more just in case and just plan on not spending it if you can, I don't have much confidence in derek and taylor's money management",might want pull case plan spend much confid derek taylor money manag,157
ham,Do you like shaking your booty on the dance floor?,like shake booti danc floor,50
ham,"Text me when you get off, don't call, my phones having problems",text get call phone problem,63
ham,No need for the drug anymore.,need drug anymor,29
ham,Sorry da:)i was thought of calling you lot of times:)lil busy.i will call you at noon..,sorri da thought call lot time lil call,87
ham,Its sarcasm.. .nt scarcasim,scarcasim,27
ham,Great! I have to run now so ttyl!,great run ttyl,33
ham,Feel like trying kadeem again? :V,feel like tri kadeem,33
ham,Dai &lt;#&gt; naal eruku.,dai lt gt naal eruku,25
ham,Not yet chikku..wat abt u?,yet abt,26
ham,Ok...,ok,5
ham,Want to finally have lunch today?,want final lunch today,33
ham,Do you know when dad will be back?,know dad back,34
spam,"Hello darling how are you today? I would love to have a chat, why dont you tell me what you look like and what you are in to sexy?",hello darl today would love chat dont tell look like sexi,130
spam,8007 FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W4 5WQ norm 150p/tone 16+,free week nokia tone ur mob everi week txt nokia get txting tell ur mate pobox norm,165
ham,He remains a bro amongst bros,remain bro amongst bro,29
ham,R u meeting da ge at nite tmr?,meet da ge nite tmr,30
ham,"* Was a nice day and, impressively, i was sensible, went home early and now feel fine. Or am i just boring?! When's yours, i can't remember.",nice day impress sensibl went home earli feel fine bore ca rememb,140
ham,Why de. You looking good only:-)..,de look good,34
spam,Wanna get laid 2nite? Want real Dogging locations sent direct to ur mobile? Join the UK's largest Dogging Network. Txt PARK to 69696 now! Nyt. ec2a. 3lp å£1.50/msg,wan na get laid want real dog locat sent direct ur mobil join uk largest dog network txt park nyt,163
spam,we tried to contact you re your response to our offer of a new nokia fone and camcorder hit reply or call 08000930705 for delivery,tri contact respons offer new nokia fone camcord hit repli call deliveri,130
ham,Yes. They replied my mail. I'm going to the management office later. Plus will in to bank later also.or on wednesday.,ye repli mail go manag offic later plu bank later wednesday,117
ham,"That's cool, I'll come by like &lt;#&gt; ish",cool come like lt gt ish,44
ham,Super msg da:)nalla timing.,super msg da nalla time,27
ham,"Good afternoon, my boytoy ... How are you feeling today ? Better I hope? Are you being my good boy? Are you my obedient, slave? Do you please your Queen?",good afternoon boytoy feel today better hope good boy obedi slave pleas queen,153
ham,I am 6 ft. We will be a good combination!,good combin,41
ham,I'm sick !! I'm needy !! I want you !! *pouts* *stomps feet* Where are you ?! *pouts* *stomps feet* I want my slave !! I want him now !!,sick needi want want slave want,136
ham,* Am on a train back from northampton so i'm afraid not!,train back northampton afraid,56
ham,Where in abj are you serving. Are you staying with dad or alone.,abj serv stay dad alon,64
ham,Was playng 9 doors game and gt racing on phone lol,playng door game gt race phone lol,50
spam,"New Tones This week include: 1)McFly-All Ab.., 2) Sara Jorge-Shock.. 3) Will Smith-Switch.. To order follow instructions on next message",new tone week includ sara order follow instruct next messag,136
ham,"Solve d Case : A Man Was Found Murdered On &lt;DECIMAL&gt; . &lt;#&gt; AfterNoon. 1,His wife called Police. 2,Police questioned everyone. 3,Wife: Sir,I was sleeping, when the murder took place. 4.Cook: I was cooking. 5.Gardener: I was picking vegetables. 6.House-Maid: I went 2 d post office. 7.Children: We went 2 play. 8.Neighbour: We went 2 a marriage. Police arrested d murderer Immediately. Who's It? Reply With Reason, If U r Brilliant.",solv case man found murder lt decim gt lt gt afternoon wife call polic polic question everyon wife sir sleep murder took place cook pick veget went post offic went play went marriag polic arrest murder immedi repli reason brilliant,442
ham,I'm on da bus going home...,da bu go home,27
ham,I got a call from a landline number. . . I am asked to come to anna nagar . . . I will go in the afternoon,got call landlin number ask come anna nagar go afternoon,106
ham,I'm okay. Chasing the dream. What's good. What are you doing next.,okay chase dream good next,66
ham,Yupz... I've oredi booked slots 4 my weekends liao...,yupz oredi book slot weekend liao,53
spam,URGENT! We are trying to contact U. Todays draw shows that you have won a å£800 prize GUARANTEED. Call 09050003091 from land line. Claim C52. Valid 12hrs only,urgent tri contact today draw show prize guarante call land line claim valid,158
ham,There r many model..sony ericson also der.. &lt;#&gt; ..it luks good bt i forgot modl no,mani ericson also lt gt luk good bt forgot modl,88
ham,Okie,oki,4
ham,Yes I know the cheesy songs from frosty the snowman :),ye know cheesi song frosti snowman,54
ham,"Ya ok, vikky vl c witin &lt;#&gt; mins and il reply u..",ya ok vikki vl witin lt gt min il repli,55
spam,sports fans - get the latest sports news str* 2 ur mobile 1 wk FREE PLUS a FREE TONE Txt SPORT ON to 8007 www.getzed.co.uk 0870141701216+ norm 4txt/120p,sport fan get latest sport news ur mobil wk free plu free tone txt sport norm,152
ham,Hey tmr meet at bugis 930 ?,hey tmr meet bugi,27
spam,"Urgent Urgent! We have 800 FREE flights to Europe to give away, call B4 10th Sept & take a friend 4 FREE. Call now to claim on 09050000555. BA128NNFWFLY150ppm",urgent urgent free flight europ give away call sept take friend free call claim,158
ham,All these nice new shirts and the only thing I can wear them to is nudist themed ;_; you in mu?,nice new shirt thing wear nudist theme mu,95
ham,Hey sexy buns! What of that day? No word from you this morning on YM ... :-( ... I think of you,hey sexi bun day word morn ym think,95
ham,And whenever you and i see we can still hook up too.,whenev see still hook,52
ham,Nope but i'm going home now then go pump petrol lor... Like going 2 rain soon...,nope go home go pump petrol lor like go rain soon,80
ham,Can you use foreign stamps for whatever you send them off for?,use foreign stamp whatev send,62
spam,FROM 88066 LOST å£12 HELP,lost help,25
ham,Oh baby of the house. How come you dont have any new pictures on facebook,oh babi hous come dont new pictur facebook,73
ham,"Feb &lt;#&gt; is \I LOVE U\"" day. Send dis to all ur \""VALUED FRNDS\"" evn me. If 3 comes back u'll gt married d person u luv! If u ignore dis u will lose ur luv 4 Evr""",feb lt gt love day send di ur valu evn come back gt marri person luv ignor di lose ur luv evr,167
ham,"Hiya, sorry didn't hav signal. I haven't seen or heard from and neither has, which is unusual in itself! I'll put on the case and get him to sort it out! Hugs and snogs.",hiya sorri hav signal seen heard neither unusu put case get sort hug snog,169
ham,"Omw back to tampa from west palm, you hear what happened?",omw back tampa west palm hear happen,57
ham,Yup no more already... Thanx 4 printing n handing it up.,yup alreadi thanx print hand,56
spam,FreeMsg: Fancy a flirt? Reply DATE now & join the UKs fastest growing mobile dating service. Msgs rcvd just 25p to optout txt stop to 83021. Reply DATE now!,freemsg fanci flirt repli date join uk fastest grow mobil date servic msg rcvd optout txt stop repli date,156
ham,What i mean is do they come chase you out when its over or is it stated you can watch as many movies as you want.,mean come chase state watch mani movi want,113
ham,S now only i took tablets . Reaction morning only.,took tablet reaction morn,50
spam,Great NEW Offer - DOUBLE Mins & DOUBLE Txt on best Orange tariffs AND get latest camera phones 4 FREE! Call MobileUpd8 free on 08000839402 NOW! or 2stoptxt T&Cs,great new offer doubl min doubl txt best orang tariff get latest camera phone free call free cs,160
ham,"Nah, I'm a perpetual DD",nah perpetu dd,23
ham,Sorry de i went to shop.,sorri de went shop,24
spam,Hope you enjoyed your new content. text stop to 61610 to unsubscribe. help:08712400602450p Provided by tones2you.co.uk,hope enjoy new content text stop unsubscrib provid,118
ham,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.",wen ur lovabl bcum angri wid dnt take coz angri childish true way show deep affect care luv kettoda manda nice day da,179
ham,Hey you still want to go for yogasana? Coz if we end at cine then can go bathe and hav the steam bath,hey still want go yogasana coz end cine go bath hav steam bath,101
ham,Nope i'm not drivin... I neva develop da photos lei...,nope drivin neva develop da photo lei,54
ham,I am thinking of going down to reg for pract lessons.. Flung my advance.. Haha wat time u going?,think go reg pract flung haha wat time go,96
ham,Cool. I am &lt;#&gt; inches long. hope you like them big!,cool lt gt inch long hope like big,57
ham,"House-Maid is the murderer, coz the man was murdered on &lt;#&gt; th January.. As public holiday all govt.instituitions are closed,including post office..understand?",murder coz man murder lt gt th public holiday close includ post,165
ham,Okie.. Thanx..,,14
spam,18 days to Euro2004 kickoff! U will be kept informed of all the latest news and results daily. Unsubscribe send GET EURO STOP to 83222.,day kickoff kept inform latest news result daili unsubscrib send get euro stop,135
ham,Go where n buy? Juz buy when we get there lar.,go buy juz buy get lar,46
ham,Ok lor...,ok lor,9
ham,I'm working technical support :)voice process.,work technic support voic process,46
ham,It's justbeen overa week since we broke up and already our brains are going to mush!,justbeen overa week sinc broke alreadi brain go mush,84
ham,"Tunde, how are you doing. This is just wishing you a great day. Abiola.",tund wish great day abiola,71
ham,Nope... C Ì_ then...,nope,20
ham,No. But we'll do medical missions to nigeria,medic mission nigeria,44
ham,No i am not having not any movies in my laptop,movi laptop,46
ham,Whatsup there. Dont u want to sleep,whatsup dont want sleep,35
spam,Urgent Please call 09066612661 from landline. å£5000 cash or a luxury 4* Canary Islands Holiday await collection. T&Cs SAE award. 20M12AQ. 150ppm. 16+ ‰ÛÏ,urgent pleas call landlin cash luxuri canari island holiday await collect cs sae award,154
spam,"Urgent! Please call 09066612661 from your landline, your complimentary 4* Lux Costa Del Sol holiday or å£1000 CASH await collection. ppm 150 SAE T&Cs James 28, EH74RR",urgent pleas call landlin complimentari lux costa del sol holiday cash await collect ppm sae cs jame,166
ham,I havent lei.. Next mon can?,havent next mon,28
ham,Mm feeling sleepy. today itself i shall get that dear,mm feel sleepi today shall get dear,53
ham,How dare you stupid. I wont tell anything to you. Hear after i wont talk to you:-.,dare stupid wont tell anyth hear wont talk,82
ham,Do Ì_ noe if ben is going?,noe ben go,26
ham,Can you do a mag meeting this avo at some point?,mag meet avo point,48
ham,I meant middle left or right?,meant middl left right,29
ham,Really? I crashed out cuddled on my sofa.,realli crash cuddl sofa,41
ham,Hi Chachi tried calling u now unable to reach u .. Pl give me a missed cal once u c tiz msg Kanagu,hi chachi tri call unabl reach pl give miss cal tiz msg kanagu,98
ham,"I sent you the prices and do you mean the &lt;#&gt; g,",sent price mean lt gt,54
ham,Are you this much buzy,much buzi,22
ham,Nothing. Can...,noth,15
spam,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,know know send chat let find rcvd ldn year,158
ham,No * am working on the ringing u thing but have whole houseful of screaming brats so * am pulling my hair out! Loving u,work ring thing whole hous scream brat pull hair love,119
ham,But my family not responding for anything. Now am in room not went to home for diwali but no one called me and why not coming. It makes me feel like died.,famili respond anyth room went home diwali one call come make feel like die,154
ham,"Tick, tick, tick ... Babe",tick tick tick babe,25
ham,R Ì_ going 4 today's meeting?,go today meet,29
ham,K da:)how many page you want?,da mani page want,29
ham,Ya had just now.onion roast.,ya roast,28
ham,Send his number and give reply tomorrow morning for why you said that to him like that ok,send number give repli tomorrow morn said like ok,89
ham,You said not now. No problem. When you can. Let me know.,said problem let know,56
ham,Ok but tell me half an hr b4 u come i need 2 prepare.,ok tell half hr come need prepar,53
ham,Play w computer? Aiyah i tok 2 u lor?,play comput aiyah tok lor,37
ham,Sat right? Okay thanks...,sat right okay thank,25
ham,"Derp. Which is worse, a dude who always wants to party or a dude who files a complaint about the three drug abusers he lives with",derp wors dude alway want parti dude file complaint three drug abus live,129
ham,Ok Chinese food on its way. When I get fat you're paying for my lipo.,ok chines food way get fat pay lipo,69
ham,We r outside already.,outsid alreadi,21
ham,Have a good trip. Watch out for . Remember when you get back we must decide about easter.,good trip watch rememb get back must decid easter,89
ham,Yo we are watching a movie on netflix,yo watch movi netflix,37
ham,What time. I‰Û÷m out until prob 3 or so,time prob,39
ham,"Can meh? Thgt some will clash... Really ah, i dun mind... I dun seen to have lost any weight... Gee...",meh thgt clash realli ah dun mind dun seen lost weight gee,102
ham,I dont thnk its a wrong calling between us,dont thnk wrong call us,42
ham,I am not sure about night menu. . . I know only about noon menu,sure night menu know noon menu,63
ham,ARR birthday today:) i wish him to get more oscar.,arr birthday today wish get oscar,50
ham,"Say this slowly.? GOD,I LOVE YOU &amp; I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people &amp; u c miracle tomorrow, do it,pls,pls do it...",say god love amp need clean heart ten special peopl amp miracl tomorrow pl pl,163
ham,"Open rebtel with firefox. When it loads just put plus sign in the user name place, and it will show you two numbers. The lower number is my number. Once you pick that number the pin will display okay!",open rebtel firefox load put plu sign user name place show two number lower number number pick number pin display okay,200
ham,and picking them up from various points,pick variou point,39
spam,Married local women looking for discreet action now! 5 real matches instantly to your phone. Text MATCH to 69969 Msg cost 150p 2 stop txt stop BCMSFWC1N3XX,marri local women look discreet action real match instantli phone text match msg cost stop txt stop,155
ham,Wow v v impressed. Have funs shopping!,wow impress fun shop,38
ham,I am on the way to ur home,way ur home,26
spam,Burger King - Wanna play footy at a top stadium? Get 2 Burger King before 1st Sept and go Large or Super with Coca-Cola and walk out a winner,burger king wan na play footi top stadium get burger king sept go larg super walk winner,141
ham,No problem. Talk to you later,problem talk later,29
ham,Then ur sis how?,ur si,16
ham,Still in customer place,still custom place,23
spam,How come it takes so little time for a child who is afraid of the dark to become a teenager who wants to stay out all night?,come take littl time child afraid dark becom teenag want stay night,124
ham,"Dude u knw also telugu..thts gud..k, gud nyt..",dude knw also gud,46
ham,We confirm eating at esplanade?,confirm eat esplanad,31
ham,Send me your id and password,send id password,28
ham,Kind of. Took it to garage. Centre part of exhaust needs replacing. Part ordered n taking it to be fixed tomo morning.,kind took garag centr part exhaust need replac part order take fix tomo morn,118
spam,"For ur chance to win a å£250 cash every wk TXT: ACTION to 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk.",ur chanc win cash everi wk txt action custcar,124
ham,Well I might not come then...,well might come,29
ham,Long after I quit. I get on only like 5 minutes a day as it is.,long quit get like minut day,63
ham,Then its most likely called Mittelschmertz. Google it. If you dont have paracetamol dont worry it will go.,like call mittelschmertz googl dont paracetamol dont worri go,106
ham,Well at this right I'm gonna have to get up and check today's steam sales/pee so text me when you want me to come get you,well right gon na get check today steam text want come get,121
ham,"Just arrived, see you in a couple days &lt;3",arriv see coupl day lt,44
ham,"K, wat s tht incident?",wat tht incid,22
ham,Yeah get the unlimited,yeah get unlimit,22
ham,cThen i thk shd b enuff.. Still got conclusion n contents pg n references.. I'll b doing da contents pg n cover pg..,cthen thk shd still got conclus content pg da content pg cover,116
ham,"Forgot it takes me 3 years to shower, sorry. Where you at/your phone dead yet?",forgot take year shower sorri phone dead yet,78
ham,ÌÏ got wat to buy tell us then Ì_ no need to come in again.,ìï got wat buy tell us need come,59
ham,When you are big..| God will bring success.,god bring success,43
spam,U‰Ûªve Bin Awarded å£50 to Play 4 Instant Cash. Call 08715203028 To Claim. EVERY 9th Player Wins Min å£50-å£500. OptOut 08718727870,bin award play instant cash call claim everi player win min optout,131
ham,"‰Û_ we r stayin here an extra week, back next wed. How did we do in the rugby this weekend? Hi to and and , c u soon \""ham"" Well there's still a bit left if you guys want to tonight",stayin extra week back next rugbi weekend hi soon ham well still bit left guy want tonight,181
ham,Not from this campus. Are you in the library?,campu librari,45
ham,"The affidavit says &lt;#&gt; E Twiggs St, division g, courtroom &lt;#&gt; , &lt;TIME&gt; AM. I'll double check and text you again tomorrow",affidavit say lt gt twigg st divis courtroom lt gt lt time gt doubl check text tomorrow,138
ham,How will I creep on you now? ;_;,creep,32
ham,Tell your friends what you plan to do on Valentines day @ &lt;URL&gt;,tell friend plan valentin day lt url gt,69
ham,If I get there before you after your ten billion calls and texts so help me god,get ten billion call text help god,79
ham,Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng musthu,puriti friendship two smile read forward smile see name gud evng musthu,149
ham,I've told him that i've returned it. That should i re order it.,told return order,63
ham,"House-Maid is the murderer, coz the man was murdered on &lt;#&gt; th January.. As public holiday all govt.instituitions are closed,including post office..",murder coz man murder lt gt th public holiday close includ post,154
ham,Depends on where u going lor.,depend go lor,29
ham,And smile for me right now as you go and the world will wonder what you are smiling about and think your crazy and keep away from you ... *grins*,smile right go world wonder smile think crazi keep away,145
spam,FreeMsg>FAV XMAS TONES!Reply REAL,freemsg fav xma tone repli real,33
ham,Lil fever:) now fine:),lil fever fine,22
ham,I think it's all still in my car,think still car,32
ham,Can a not?,,10
spam,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906,decemb mobil entitl updat latest colour camera mobil free call mobil updat co free,157
ham,Yes princess! I want to catch you with my big strong hands...,ye princess want catch big strong hand,61
ham,Oh yeah I forgot. U can only take 2 out shopping at once.,oh yeah forgot take shop,57
ham,Mm so you asked me not to call radio,mm ask call radio,36
ham,Thinkin about someone is all good. No drugs for that,thinkin someon good drug,52
ham,"Say this slowly.? GOD,I LOVE YOU &amp; I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people &amp; u c miracle tomorrow, do it,pls,pls do it...",say god love amp need clean heart ten special peopl amp miracl tomorrow pl pl,163
ham,"Enjoy the showers of possessiveness poured on u by ur loved ones, bcoz in this world of lies, it is a golden gift to be loved truly..",enjoy shower possess pour ur love one bcoz world lie golden gift love,133
ham,"Alright if you're sure, let me know when you're leaving",alright sure let know leav,55
ham,Some are lasting as much as 2 hours. You might get lucky.,last much hour might get lucki,57
ham,Genius what's up. How your brother. Pls send his number to my skype.,geniu brother pl send number skype,68
spam,"Gr8 Poly tones 4 ALL mobs direct 2u rply with POLY TITLE to 8007 eg POLY BREATHE1 Titles: CRAZYIN, SLEEPINGWITH, FINEST, YMCA :getzed.co.uk POBox365O4W45WQ 300p",poli tone mob direct rpli poli titl eg poli titl crazyin sleepingwith finest ymca,160
ham,Thk some of em find wtc too far... Weiyi not goin... E rest i dunno yet... R ur goin 4 dinner den i might b able to join...,thk em find wtc far weiyi goin rest dunno yet ur goin dinner den might abl join,123
ham,Don't forget who owns you and who's private property you are ... And be my good boy always .. *passionate kiss*,forget own privat properti good boy alway,111
spam,INTERFLORA - åÒIt's not too late to order Interflora flowers for christmas call 0800 505060 to place your order before Midnight tomorrow.,interflora åòit late order interflora flower christma call place order midnight tomorrow,137
ham,Oh god..taken the teeth?is it paining,oh teeth pain,37
spam,ROMCAPspam Everyone around should be responding well to your presence since you are so warm and outgoing. You are bringing in a real breath of sunshine.,romcapspam everyon around respond well presenc sinc warm outgo bring real breath sunshin,152
ham,Then u ask darren go n pick u lor... But i oso sian tmr haf 2 meet lect...,ask darren go pick lor oso sian tmr haf meet lect,74
ham,No need to buy lunch for me.. I eat maggi mee..,need buy lunch eat maggi,47
spam,"Congratulations - Thanks to a good friend U have WON the å£2,000 Xmas prize. 2 claim is easy, just call 08712103738 NOW! Only 10p per minute. BT-national-rate",congratul thank good friend xma prize claim easi call per minut,158
ham,Ok lor...,ok lor,9
ham,"Oh right, ok. I'll make sure that i do loads of work during the day! got a really nasty cough today and is dry n shot so that should really help it!",oh right make sure load work day got realli nasti cough today dri shot realli help,148
ham,Wife.how she knew the time of murder exactly,knew time murder exactli,44
spam,Send a logo 2 ur lover - 2 names joined by a heart. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 to 87077 Yahoo! POBox36504W45WQ TxtNO 4 no ads 150p.,send logo ur lover name join heart txt love mobno eg love adam eve yahoo txtno ad,160
ham,Howz that persons story,howz person stori,23
ham,Thanx 4 sending me home...,thanx send home,26
ham,Its normally hot mail. Com you see!,normal hot mail com see,35
spam,"You've won tkts to the EURO2004 CUP FINAL or å£800 CASH, to collect CALL 09058099801 b4190604, POBOX 7876150ppm",tkt cup final cash collect call pobox,111
ham,U sick still can go shopping?,sick still go shop,29
ham,"Ya they are well and fine., BBD(pooja) full pimples..even she become quite black..and ur rite here its too cold, wearing sweatter..",ya well bbd pooja full becom quit ur rite cold wear,131
ham,Nice.nice.how is it working?,work,28
ham,1's reach home call me.,reach home call,23
ham,Were trying to find a Chinese food place around here,tri find chines food place around,52
ham,"Easy mate, * guess the quick drink was bit ambitious.",easi mate guess quick drink bit ambiti,53
ham,BABE !!! I miiiiiiissssssssss you ! I need you !!! I crave you !!! :-( ... Geeee ... I'm so sad without you babe ... I love you ...,babe miiiiiiissssssssss need crave geeee sad without babe love,131
ham,Ok thanx...,ok thanx,11
ham,aathi..where are you dear..,,27
ham,"Tunji, how's the queen? how are you doing. This is just wishing you a great day. Abiola.",tunji queen wish great day abiola,88
ham,Today iZ Yellow rose day. If u love my frndship give me 1 misscall &amp; send this to ur frndZ &amp; See how many miss calls u get. If u get 6missed U marry ur Lover.,today iz yellow rose day love frndship give misscal amp send ur frndz amp see mani miss call get get marri ur lover,166
ham,Will be out of class in a few hours. Sorry,class hour sorri,42
ham,Wat time u finish ur lect today?,wat time finish ur lect today,32
spam,"Free-message: Jamster!Get the crazy frog sound now! For poly text MAD1, for real text MAD2 to 88888. 6 crazy sounds for just 3 GBP/week! 16+only! T&C's apply",jamster get crazi frog sound poli text real text crazi sound appli,157
ham,"Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish. As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there. She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife, My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!",sad stori man last week wife wish parent forgot kid went work even colleagu wish enter cabin pa said happi boss felt special askd lunch lunch invit apart went said mind go bedroom minut sed sexi mood came minut latr wid cake wife parent kidz friend colleagu surpris wait nake,588
spam,"YOUR CHANCE TO BE ON A REALITY FANTASY SHOW call now = 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national = rate call",chanc realiti fantasi show call per min ntt ltd po box croydon nation rate call,151
ham,She's fine. Good to hear from you. How are you my dear? Happy new year oh.,fine good hear dear happi new year oh,74
ham,Are you going to wipro interview today?,go wipro interview today,39
ham,how tall are you princess?,tall princess,26
ham,I doubt you could handle 5 times per night in any case...,doubt could handl time per night case,57
ham,Haha... Hope Ì_ can hear the receipt sound... Gd luck!,haha hope hear receipt sound gd luck,54
ham,Your gonna be the death if me. I'm gonna leave a note that says its all robs fault. Avenge me.,gon na death gon na leav note say rob fault aveng,94
ham,"Japanese Proverb: If one Can do it, U too Can do it, If none Can do it,U must do it Indian version: If one Can do it, LET HIM DO it.. If none Can do it,LEAVE it!! And finally Kerala version: If one can do it, Stop him doing it.. If none can do it, Make a strike against it ...",japanes proverb one none must indian version one let none leav final kerala version one stop none make strike,276
ham,Today i'm not workin but not free oso... Gee... Thgt u workin at ur fren's shop ?,today workin free oso gee thgt workin ur fren shop,81
